sl.no,date,price
001,01/01/2023,82.7501
002,02/01/2023,82.7063
003,03/01/2023,82.7860
004,04/01/2023,82.6668
005,05/01/2023,82.6455
006,06/01/2023,82.2736
007,07/01/2023,82.2737
008,08/01/2023,82.2737
009,09/01/2023,82.1805
010,10/01/2023,81.6377
011,11/01/2023,81.6321
012,12/01/2023,81.1159
013,13/01/2023,81.2851
014,14/01/2023,81.2855
015,15/01/2023,81.2855
016,16/01/2023,81.6529
017,17/01/2023,81.5265
018,18/01/2023,81.4363
019,19/01/2023,81.2401
020,20/01/2023,80.9763
021,21/01/2023,80.9763
022,22/01/2023,80.9763
023,23/01/2023,81.4884
024,24/01/2023,81.6022
025,25/01/2023,81.5030
026,26/01/2023,81.4454
027,27/01/2023,81.5146
028,28/01/2023,81.5155
029,29/01/2023,81.5155
030,30/01/2023,81.5802
031,31/01/2023,81.7687
032,01/02/2023,81.7106
033,02/02/2023,82.0464
034,03/02/2023,82.4916
035,04/02/2023,82.2335
036,05/02/2023,82.2335
037,06/02/2023,82.7553
038,07/02/2023,82.7422
039,08/02/2023,82.6598
040,09/02/2023,82.5335
041,10/02/2023,82.4950
042,11/02/2023,82.5205
043,12/02/2023,82.5205
044,13/02/2023,82.5977
045,14/02/2023,82.8668
046,15/02/2023,82.7411
047,16/02/2023,82.6956
048,17/02/2023,82.8152
049,18/02/2023,82.7655
050,19/02/2023,82.7655
051,20/02/2023,82.6974
052,21/02/2023,82.8615
053,22/02/2023,82.8356
054,23/02/2023,82.6182
055,24/02/2023,82.9335
056,25/02/2023,82.9255
057,26/02/2023,82.9255
058,27/02/2023,82.6523
059,28/02/2023,82.6356
060,01/03/2023,82.4202
061,02/03/2023,82.3560
062,03/03/2023,81.7128
063,04/03/2023,81.7128
064,05/03/2023,81.7128
065,06/03/2023,81.8536
066,07/03/2023,82.0749
067,08/03/2023,81.9648
068,09/03/2023,82.0187
069,10/03/2023,82.0186
070,11/03/2023,81.9655
071,12/03/2023,81.9655
072,13/03/2023,82.4177
073,14/03/2023,82.3052
074,15/03/2023,82.7160
075,16/03/2023,82.6231
076,17/03/2023,82.5327
077,18/03/2023,82.5405
078,19/03/2023,82.5405
079,20/03/2023,82.5294
080,21/03/2023,82.6773
081,22/03/2023,82.5261
082,23/03/2023,82.2656
083,24/03/2023,82.3475
084,25/03/2023,82.3475
085,26/03/2023,82.3391
086,27/03/2023,82.2152
087,28/03/2023,82.1646
088,29/03/2023,82.2557
089,30/03/2023,82.1008
090,31/03/2023,82.1808
091,01/04/2023,82.1808
092,02/04/2023,82.1851
093,03/04/2023,82.1412
094,04/04/2023,82.1151
095,05/04/2023,81.9503
096,06/04/2023,81.8316
097,07/04/2023,81.8753
098,08/04/2023,81.8405
099,09/04/2023,81.8851
100,10/04/2023,81.9842
101,11/04/2023,82.0704
102,12/04/2023,81.9609
103,13/04/2023,81.6810
104,14/04/2023,81.8463
105,15/04/2023,81.8455
106,16/04/2023,81.8451
107,17/04/2023,82.0040
108,18/04/2023,82.1074
109,19/04/2023,82.3404
110,20/04/2023,82.1412
111,21/04/2023,82.0409
112,22/04/2023,82.0409
113,23/04/2023,82.0551
114,24/04/2023,81.8526
115,25/04/2023,81.9912
116,26/04/2023,81.7672
117,27/04/2023,81.7654
118,28/04/2023,81.7457
119,29/04/2023,81.7455
120,30/04/2023,81.7451
121,01/05/2023,81.7750
122,02/05/2023,81.7790
123,03/05/2023,81.7803
124,04/05/2023,81.7066
125,05/05/2023,81.7298
126,06/05/2023,81.7298
127,07/05/2023,81.7301
128,08/05/2023,81.7874
129,09/05/2023,82.1053
130,10/05/2023,81.9202
131,11/05/2023,82.1006
132,12/05/2023,82.2563
133,13/05/2023,82.2005
134,14/05/2023,82.2006
135,15/05/2023,82.2670
136,16/05/2023,82.2963
137,17/05/2023,82.4506
138,18/05/2023,82.7254
139,19/05/2023,82.8388
140,20/05/2023,82.9055
141,21/05/2023,82.9051
142,22/05/2023,82.8253
143,23/05/2023,82.8909
144,24/05/2023,82.7140
145,25/05/2023,82.7424
146,26/05/2023,82.5649
147,27/05/2023,82.5648
148,28/05/2023,82.5751
149,29/05/2023,82.5800
150,30/05/2023,82.6842
151,31/05/2023,82.6671
152,01/06/2023,82.2770
153,02/06/2023,82.4100
154,03/06/2023,82.4035
155,04/06/2023,82.4101
156,05/06/2023,82.5115
157,06/06/2023,82.5175
158,07/06/2023,82.6184
159,08/06/2023,82.4886
160,09/06/2023,82.4254
161,10/06/2023,82.4455
162,11/06/2023,82.4451
163,12/06/2023,82.3375
164,13/06/2023,82.2907
165,14/06/2023,82.0453
166,15/06/2023,81.9255
167,16/06/2023,81.9116
168,17/06/2023,81.9116
169,18/06/2023,81.9155
170,19/06/2023,81.9817
171,20/06/2023,81.9921
172,21/06/2023,81.9418
173,22/06/2023,81.9196
174,23/06/2023,81.9578
175,24/06/2023,81.9855
176,25/06/2023,81.9851
177,26/06/2023,82.0068
178,27/06/2023,81.9987
179,28/06/2023,82.0268
180,29/06/2023,82.0757
181,30/06/2023,82.0963
182,01/07/2023,82.0963
183,02/07/2023,82.0966
184,03/07/2023,81.9504
185,04/07/2023,82.0074
